,puma,above_lw,below_lw,above_pov,below_pov,pct_below_lw,pct_below_pov,code,name_x,flag,Unnamed: 3,Unnamed: 4,Unnamed: 5,state_fips,puma_short,name_y
6644,5541002,20581.0,22903.0,33118.0,10366.0,0.526699475669,0.238386532978,55 41002,Milwaukee City (North Central) ,1,,,,55,41002,wi
3543,281100,21435.0,23860.0,30664.0,14631.0,0.526768959046,0.323015785407,28 01100,Central Region--Jackson City (East & Central) ,1,,,,28,1100,ms
3544,281100,21435.0,23860.0,30664.0,14631.0,0.526768959046,0.323015785407,28 01100,Central Region--Jackson City (East & Central) ,1,,,,28,1100,ms
3545,281100,21435.0,23860.0,30664.0,14631.0,0.526768959046,0.323015785407,28 01100,Central Region--Jackson City (East & Central) ,1,,,,28,1100,ms
3554,281400,20319.0,22629.0,31702.0,11246.0,0.526892986868,0.261851541399,28 01400,"East Central Region--Neshoba, Scott, Leake, Jasper, Smith & Kemper Counties ",1,,,,28,1400,ms
3553,281400,20319.0,22629.0,31702.0,11246.0,0.526892986868,0.261851541399,28 01400,"East Central Region--Neshoba, Scott, Leake, Jasper, Smith & Kemper Counties ",1,,,,28,1400,ms
3552,281400,20319.0,22629.0,31702.0,11246.0,0.526892986868,0.261851541399,28 01400,"East Central Region--Neshoba, Scott, Leake, Jasper, Smith & Kemper Counties ",1,,,,28,1400,ms
4520,364015,24654.0,27514.0,39248.0,12920.0,0.527411439963,0.247661401626,36 04015,NYC-Brooklyn Community District 14--Flatbush & Midwood ,1,,,,36,4015,ny
4519,364015,24654.0,27514.0,39248.0,12920.0,0.527411439963,0.247661401626,36 04015,NYC-Brooklyn Community District 14--Flatbush & Midwood ,1,,,,36,4015,ny
4518,364015,24654.0,27514.0,39248.0,12920.0,0.527411439963,0.247661401626,36 04015,NYC-Brooklyn Community District 14--Flatbush & Midwood ,1,,,,36,4015,ny
635,63758,23602.0,26347.0,40141.0,9808.0,0.527478027588,0.196360287493,06 03758,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens ",1,,,,6,3758,ca
634,63758,23602.0,26347.0,40141.0,9808.0,0.527478027588,0.196360287493,06 03758,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens ",1,,,,6,3758,ca
633,63758,23602.0,26347.0,40141.0,9808.0,0.527478027588,0.196360287493,06 03758,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens ",1,,,,6,3758,ca
6155,484602,15383.0,17223.0,24078.0,8528.0,0.528215665828,0.261546954548,48 04602,Houston City (East Central)--East of I-45 & Inside Loop I-610 ,1,,,,48,4602,tx
6154,484602,15383.0,17223.0,24078.0,8528.0,0.528215665828,0.261546954548,48 04602,Houston City (East Central)--East of I-45 & Inside Loop I-610 ,1,,,,48,4602,tx
6153,484602,15383.0,17223.0,24078.0,8528.0,0.528215665828,0.261546954548,48 04602,Houston City (East Central)--East of I-45 & Inside Loop I-610 ,1,,,,48,4602,tx
5486,423210,22337.0,25028.0,33686.0,13679.0,0.52840705162,0.288799746648,42 03210,Philadelphia City (Southwest) ,1,,,,42,3210,pa
