,puma,above_lw,below_lw,above_pov,below_pov,pct_below_lw,pct_below_pov,code,name_x,flag,Unnamed: 3,Unnamed: 4,Unnamed: 5,state_fips,puma_short,name_y
145,4109,15269.0,15839.0,22276.0,8832.0,0.509161630449,0.283914105696,04 00109,Maricopa County--Tempe City (North) ,1,,,,4,109,az
146,4109,15269.0,15839.0,22276.0,8832.0,0.509161630449,0.283914105696,04 00109,Maricopa County--Tempe City (North) ,1,,,,4,109,az
4797,375200,22487.0,23341.0,33148.0,12680.0,0.509317447848,0.27668674173,37 05200,"Hoke, Richmond & Scotland Counties ",1,,,,37,5200,nc
4798,375200,22487.0,23341.0,33148.0,12680.0,0.509317447848,0.27668674173,37 05200,"Hoke, Richmond & Scotland Counties ",1,,,,37,5200,nc
4799,375200,22487.0,23341.0,33148.0,12680.0,0.509317447848,0.27668674173,37 05200,"Hoke, Richmond & Scotland Counties ",1,,,,37,5200,nc
4998,394106,23080.0,23961.0,35639.0,11402.0,0.50936417168,0.242384303055,39 04106,Columbus City (Northeast) ,1,,,,39,4106,oh
4999,394106,23080.0,23961.0,35639.0,11402.0,0.50936417168,0.242384303055,39 04106,Columbus City (Northeast) ,1,,,,39,4106,oh
5000,394106,23080.0,23961.0,35639.0,11402.0,0.50936417168,0.242384303055,39 04106,Columbus City (Northeast) ,1,,,,39,4106,oh
669,63900,20694.0,21510.0,32042.0,10162.0,0.509667330111,0.240782864183,06 03900,Madera County--Madera City ,1,,,,6,3900,ca
670,63900,20694.0,21510.0,32042.0,10162.0,0.509667330111,0.240782864183,06 03900,Madera County--Madera City ,1,,,,6,3900,ca
671,63900,20694.0,21510.0,32042.0,10162.0,0.509667330111,0.240782864183,06 03900,Madera County--Madera City ,1,,,,6,3900,ca
3519,28300,21105.0,21945.0,31327.0,11723.0,0.509756097561,0.27231126597,28 00300,"North Delta Region--Panola, Tate, Coahoma, Tallahatchie, Tunica & Quitman Counties ",1,,,,28,300,ms
3521,28300,21105.0,21945.0,31327.0,11723.0,0.509756097561,0.27231126597,28 00300,"North Delta Region--Panola, Tate, Coahoma, Tallahatchie, Tunica & Quitman Counties ",1,,,,28,300,ms
3520,28300,21105.0,21945.0,31327.0,11723.0,0.509756097561,0.27231126597,28 00300,"North Delta Region--Panola, Tate, Coahoma, Tallahatchie, Tunica & Quitman Counties ",1,,,,28,300,ms
557,63732,33052.0,34374.0,50659.0,16767.0,0.509803339958,0.248672618871,06 03732,Los Angeles County (Central)--LA City (East Central/Hollywood) ,1,,,,6,3732,ca
555,63732,33052.0,34374.0,50659.0,16767.0,0.509803339958,0.248672618871,06 03732,Los Angeles County (Central)--LA City (East Central/Hollywood) ,1,,,,6,3732,ca
556,63732,33052.0,34374.0,50659.0,16767.0,0.509803339958,0.248672618871,06 03732,Los Angeles County (Central)--LA City (East Central/Hollywood) ,1,,,,6,3732,ca
952,67322,18077.0,18803.0,29586.0,7294.0,0.509842733189,0.197776572668,06 07322,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay) ,1,,,,6,7322,ca
951,67322,18077.0,18803.0,29586.0,7294.0,0.509842733189,0.197776572668,06 07322,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay) ,1,,,,6,7322,ca
953,67322,18077.0,18803.0,29586.0,7294.0,0.509842733189,0.197776572668,06 07322,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay) ,1,,,,6,7322,ca
3367,263209,21406.0,22289.0,30932.0,12763.0,0.510104130907,0.29209291681,26 03209,Detroit City (North Central) ,1,,,,26,3209,mi
3366,263209,21406.0,22289.0,30932.0,12763.0,0.510104130907,0.29209291681,26 03209,Detroit City (North Central) ,1,,,,26,3209,mi
3368,263209,21406.0,22289.0,30932.0,12763.0,0.510104130907,0.29209291681,26 03209,Detroit City (North Central) ,1,,,,26,3209,mi
43,11302,20096.0,20973.0,30292.0,10777.0,0.510677153084,0.262412038277,01 01302,Birmingham City (East) ,1,,,,1,1302,al
